"id","date","shop","gruppa","name","characteristic","quantity","item","price","amount","id_store"
"70","2018-11-03","СтройМир на Чиркова","Расходники","Пластина","крепёжная 30 х 100 х 2,0мм.","10","шт.","10.00","100.00","67"
"71","2018-11-03","СтройМир на Чиркова","Стройматериалы","Сайдинг","Дёке J-профиль L=3050мм., пломбир","8","шт.","125.00","1000.00","67"
"72","2018-11-03","СтройМир на Чиркова","Стройматериалы","Сайдинг","Дёке Молдинг L=3050мм., пломбир","1","шт.","295.00","295.00","67"
"73","2018-11-03","СтройМир на Чиркова","Стройматериалы","Джут","межвенцовый 100 х 5мм. х 20м. (рулон)","3","шт.","110.00","330.00","67"
"75","2015-07-13","Мастер-ПРОФ","Расходники","Кран","шаровый RUC 1"" с/ш (ручка) 01-0-0","2","шт.","390.00","780.00","44"
"76","2017-08-13","СтройБери","Лакокрасочные","Кисть","флейцевая 2,0""","1","шт.","40.00","40.00","73"
"77","2017-08-13","СтройБери","Лакокрасочные","Кисть","флейцевая 2,5""","2","шт.","45.00","90.00","73"
"78","2018-08-15","СтройБери","Расходники","Гвозди","фасованные 2,0 х 40мм., 0,3кг.","1","шт.","30.00","30.00","73"
"79","2018-08-15","СтройБери","Стройматериалы","Джут","межвенцовый 100 х 10мм. х 10м., 700гр./кв.м.","2","шт.","162.00","324.00","73"
"80","2017-08-17","СтройМир на Пугачёва","Лакокрасочные","Краска","масляная МА-15 светло-голубая, 1,9кг., Радуга-малер","1","шт.","230.00","230.00","66"
"81","2017-08-17","СтройМир на Пугачёва","Расходники","Гвозди","строительные 100 х 4,0мм.","2","кг.","77.00","154.00","66"
"82","2017-08-17","Реал Маркет Котлас","Инструмент","Рулетка","Хард 3м. х 16мм., прорезиненный корпус","1","шт.","116.00","116.00","2"
"83","2017-08-17","Реал Маркет Котлас","Стройматериалы","Колено","72 (пломбир)","3","шт.","120.00","349.00","2"
"84","2017-08-17","Реал Маркет Котлас","Стройматериалы","Воронка","(пломбир)","2","шт.","215.00","417.00","2"
