Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),timeStart (s),timeStartUTC (s),GPSLatitude (deg),GPSLongitude (deg),GPSHeight (m),GPSSat (),Temp (*C),Pressure (Pa),Heigh BME (m),Vbat (V),FR1 (%),FR2 (%),1 (),2 (),Vel (m/s),ALx (g),ALy (g),ALz (g),Agx (deg/s),Agy (deg/s),Agz (deg/s),MagX (Gauss),MagY (Gauss),MagZ (Gauss),TimeNRF (ms),TimeFR (ms),TimeVbat (ms),TimeBME280 (ms),TimeLSM6DSL (ms),TimeLIS3MDL (ms),TimeSdData (ms),quat (Gauss),quat1 (),quat2 (),quat3 (),quatGyro ()
21,1657110689936,3636739,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,82.49000,71.69000,37.00000,0.00000,0.0000000,-0.0336914,0.0361328,1.0458984,2.0141602,-3.4790039,4.0893555,0.0791016,0.3715820,0.4414062,16.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0547597,0.1922102,0.8901495,0.0000000
22,1657110689946,3636749,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,82.49000,71.69000,37.00000,0.00000,0.0000000,-0.0292969,0.0385742,1.0458984,0.9765625,-4.0893555,-1.9531250,0.0786133,0.3710938,0.4409180,16.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,28.0000000,0.0000000,0.0547491,0.1921674,0.8901590,0.0000000
23,1657110689956,3636759,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,82.49000,71.69000,37.00000,0.00000,0.0000000,-0.0332031,0.0449219,1.0415039,1.6479492,-4.0893555,1.9531250,0.0776367,0.3710938,0.4414062,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0547315,0.1921245,0.8901495,0.0000000
24,1657110689966,3636769,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,82.49000,71.69000,37.00000,0.00000,0.0000000,-0.0356445,0.0454102,1.0361328,0.9765625,-3.2348633,-2.0141602,0.0781250,0.3706055,0.4409180,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0547209,0.1920911,0.8901593,0.0000000
25,1657110689976,3636779,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,82.49000,71.69000,37.00000,0.00000,0.0000000,-0.0292969,0.0410156,1.0434570,2.2583008,-3.6621094,1.1596680,0.0786133,0.3720703,0.4423828,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0546970,0.1920524,0.8901536,0.0000000
26,1657110689993,3636796,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,82.49000,71.69000,37.00000,0.00000,0.0000000,-0.0356445,0.0400391,1.0419922,2.9907227,-3.5400391,0.3662109,0.0786133,0.3720703,0.4438477,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0546427,0.1919897,0.8901507,0.0000000
27,1657110690003,3636806,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,82.49000,71.69000,37.00000,0.00000,0.0000000,-0.0336914,0.0454102,1.0390625,2.9907227,-4.4555664,-0.7324219,0.0786133,0.3720703,0.4443359,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0546108,0.1919427,0.8901542,0.0000000
28,1657110690013,3636816,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,82.49000,71.69000,37.00000,0.00000,0.0000000,-0.0263672,0.0434570,1.0410156,0.5493164,-4.0283203,14.8315430,0.0786133,0.3720703,0.4448242,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0546050,0.1919009,0.8900822,0.0000000
29,1657110690023,3636826,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,82.49000,71.69000,37.00000,0.00000,0.0000000,-0.0268555,0.0410156,1.0434570,0.9765625,-4.1503906,0.2441406,0.0786133,0.3725586,0.4458008,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0545944,0.1918570,0.8900810,0.0000000
30,1657110690048,3636851,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,82.49000,71.69000,37.00000,0.00000,0.0000000,-0.0336914,0.0424805,1.0473633,1.9531250,-2.8076172,-1.1596680,0.0791016,0.3735352,0.4453125,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0545423,0.1917839,0.8900951,0.0000000
